"";"latitude";"longitude";"unixtime";"velocidades";"file_name"
"2";37,7949295043945;-122,396743774414;2008-06-02 12:30:01;10;268
"6";37,7924880981445;-122,403358459473;2008-06-02 12:30:04;9;148
"7";37,7896499633789;-122,39705657959;2008-06-02 12:30:05;0;74
"11";37,7932891845703;-122,401519775391;2008-06-02 12:30:07;35;53
"12";37,7895698547363;-122,397239685059;2008-06-02 12:30:07;0;111
"17";37,7922286987305;-122,401191711426;2008-06-02 12:30:11;1;177
"18";37,792839050293;-122,401382446289;2008-06-02 12:30:12;18;197
"22";37,7933006286621;-122,398399353027;2008-06-02 12:30:14;5;44
"25";37,7910118103027;-122,40357208252;2008-06-02 12:30:17;21;72
"27";37,7931098937988;-122,402061462402;2008-06-02 12:30:18;11;420
"28";37,7924308776855;-122,400917053223;2008-06-02 12:30:20;19;362
"29";37,7913284301758;-122,399711608887;2008-06-02 12:30:21;16;26
"30";37,7931594848633;-122,399017333984;2008-06-02 12:30:21;24;493
"31";37,7940406799316;-122,39714050293;2008-06-02 12:30:22;1;60
"33";37,7889289855957;-122,40177154541;2008-06-02 12:30:24;23;70
"34";37,7940101623535;-122,404678344727;2008-06-02 12:30:24;13;234
"38";37,7927513122559;-122,404510498047;2008-06-02 12:30:28;12;167
"40";37,7922592163086;-122,40113067627;2008-06-02 12:30:29;7;177
"43";37,7890586853027;-122,402320861816;2008-06-02 12:30:31;32;282
"45";37,7947692871094;-122,404830932617;2008-06-02 12:30:32;7;337
"50";37,795238494873;-122,404960632324;2008-06-02 12:30:35;9;169
"51";37,7915992736816;-122,406341552734;2008-06-02 12:30:36;1;3
"54";37,7896690368652;-122,403160095215;2008-06-02 12:30:37;9;296
"55";37,7944412231445;-122,404632568359;2008-06-02 12:30:37;12;402
"58";37,7942085266113;-122,396591186523;2008-06-02 12:30:39;8;384
"59";37,7908592224121;-122,403663635254;2008-06-02 12:30:39;14;461
"61";37,7909393310547;-122,403099060059;2008-06-02 12:30:40;13;378
"65";37,7925300598145;-122,403282165527;2008-06-02 12:30:41;0;377
"70";37,7889785766602;-122,403648376465;2008-06-02 12:30:44;8;82
"73";37,7906112670898;-122,396842956543;2008-06-02 12:30:45;11;291
"84";37,7906188964844;-122,403999328613;2008-06-02 12:30:50;10;164
"90";37,7927398681641;-122,39820098877;2008-06-02 12:30:53;6;44
"91";37,7888793945313;-122,403457641602;2008-06-02 12:30:53;15;82
"94";37,7909317016602;-122,403831481934;2008-06-02 12:30:53;21;459
"99";37,7927093505859;-122,398193359375;2008-06-02 12:30:55;1;44
"100";37,7925186157227;-122,403480529785;2008-06-02 12:30:55;4;167
"103";37,793529510498;-122,396423339844;2008-06-02 12:30:57;6;268
"106";37,790901184082;-122,402809143066;2008-06-02 12:30:58;7;461
"115";37,7928695678711;-122,398452758789;2008-06-02 12:31:02;7;197
"116";37,7904586791992;-122,396682739258;2008-06-02 12:31:03;5;278
"117";37,7936782836914;-122,404418945313;2008-06-02 12:31:04;26;148
"118";37,7926902770996;-122,401031494141;2008-06-02 12:31:04;16;325
"119";37,7895202636719;-122,39705657959;2008-06-02 12:31:05;0;74
"129";37,789478302002;-122,39737701416;2008-06-02 12:31:08;0;111
"128";37,7895889282227;-122,40648651123;2008-06-02 12:31:08;15;72
"130";37,7926406860352;-122,403831481934;2008-06-02 12:31:10;19;420
"135";37,7933807373047;-122,396118164063;2008-06-02 12:31:14;5;268
"136";37,7939910888672;-122,39794921875;2008-06-02 12:31:15;1;517
"143";37,7953414916992;-122,401580810547;2008-06-02 12:31:20;19;362
"144";37,79248046875;-122,40323638916;2008-06-02 12:31:20;1;377
"142";37,7922782897949;-122,400352478027;2008-06-02 12:31:20;9;325
"145";37,7926216125488;-122,403549194336;2008-06-02 12:31:21;11;493
"147";37,7939414978027;-122,396919250488;2008-06-02 12:31:22;0;60
"152";37,7930488586426;-122,397956848145;2008-06-02 12:31:24;3;197
"154";37,7894515991211;-122,401786804199;2008-06-02 12:31:24;14;296
"156";37,7930603027344;-122,397956848145;2008-06-02 12:31:25;3;197
"157";37,7891082763672;-122,403701782227;2008-06-02 12:31:25;1;474
"165";37,7891006469727;-122,403671264648;2008-06-02 12:31:31;9;474
"166";37,794921875;-122,403450012207;2008-06-02 12:31:32;1;337
"167";37,7935104370117;-122,40096282959;2008-06-02 12:31:35;12;177
"175";37,7949409484863;-122,403419494629;2008-06-02 12:31:40;10;337
"177";37,7909507751465;-122,400520324707;2008-06-02 12:31:41;3;378
"180";37,7940406799316;-122,398231506348;2008-06-02 12:31:42;2;384
"183";37,7925987243652;-122,404830932617;2008-06-02 12:31:43;3;537
"184";37,7920112609863;-122,398048400879;2008-06-02 12:31:45;2;291
"188";37,7910614013672;-122,402389526367;2008-06-02 12:31:47;6;301
"195";37,7925910949707;-122,40397644043;2008-06-02 12:31:49;14;457
"198";37,7890701293945;-122,400657653809;2008-06-02 12:31:50;15;321
"196";37,7923393249512;-122,396209716797;2008-06-02 12:31:50;9;179
"201";37,7920913696289;-122,405143737793;2008-06-02 12:31:51;25;192
"210";37,7924880981445;-122,398147583008;2008-06-02 12:31:57;20;44
"211";37,7899513244629;-122,397438049316;2008-06-02 12:31:57;21;278
"224";37,7930717468262;-122,402732849121;2008-06-02 12:32:02;14;167
"223";37,79248046875;-122,40357208252;2008-06-02 12:32:02;2;164
"229";37,7924613952637;-122,40355682373;2008-06-02 12:32:06;0;164
"242";37,7912101745605;-122,401550292969;2008-06-02 12:32:18;9;325
"246";37,7925109863281;-122,405776977539;2008-06-02 12:32:21;17;493
"247";37,7938613891602;-122,396896362305;2008-06-02 12:32:22;0;60
"250";37,7926902770996;-122,403327941895;2008-06-02 12:32:22;0;377
"254";37,7905502319336;-122,403961181641;2008-06-02 12:32:24;11;396
"255";37,7940483093262;-122,39769744873;2008-06-02 12:32:25;4;517
"256";37,7924995422363;-122,403579711914;2008-06-02 12:32:26;2;164
"258";37,7896308898926;-122,405181884766;2008-06-02 12:32:27;23;474
"260";37,7925109863281;-122,397850036621;2008-06-02 12:32:28;9;197
"263";37,7912292480469;-122,406272888184;2008-06-02 12:32:31;5;3
"267";37,7917785644531;-122,400802612305;2008-06-02 12:32:33;3;461
"268";37,7918586730957;-122,397682189941;2008-06-02 12:32:34;12;291
"272";37,7918014526367;-122,39769744873;2008-06-02 12:32:36;9;291
"278";37,789249420166;-122,403038024902;2008-06-02 12:32:38;3;366
"281";37,7892417907715;-122,403022766113;2008-06-02 12:32:40;3;366
"280";37,790771484375;-122,401916503906;2008-06-02 12:32:40;11;325
"283";37,7955513000488;-122,401580810547;2008-06-02 12:32:41;17;177
"286";37,7934913635254;-122,402473449707;2008-06-02 12:32:41;20;337
"285";37,7909317016602;-122,399749755859;2008-06-02 12:32:41;22;321
"291";37,7919616699219;-122,39778137207;2008-06-02 12:32:44;2;179
"299";37,7925796508789;-122,404121398926;2008-06-02 12:32:47;8;537
"298";37,7892684936523;-122,403839111328;2008-06-02 12:32:47;8;448
